,url,id,title,tags,description
0,https://www.redbubble.com/shop/ap/115001131,115001131,My Body My Choice Text in Black and Pink,"my body, my choice, suffragette, feminism, amsonart designs, roe v wade, wise, pro female, black text, pink shadow", My body my choice black text with pink shadow for females who want to protest for womens rights.  For more designs and illustrations visit  AMSonArt design.
1,https://www.redbubble.com/shop/ap/114999448,114999448,My Body My Choice Colouful Drops Orchid,"my body, my choice, suffragette, feminism, amsonart designs, roe v wade, wise, pro female, flower, orchid", My body my choice colourful drops abstract orchid for females who want to protest for womens rights.  For more designs and illustrations visit  AMSonArt design.
2,https://www.redbubble.com/shop/ap/114996596,114996596,I Love My Whippet Neon Butterflies Dog Silhouette ,"i love my whippet, small greyhound, fast dog, cute, dog mom, dogs puppy, canine, silhouette, hot pink, blue, abstract, pet, pets, animals, graphic, amsonart design, neon butterflies, red, yellow","I love my Whippet neon butterflies abstract pattern in red, yellow and blue.  The cute dog silhouette makes a great gift for any small dog mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
3,https://www.redbubble.com/shop/ap/114995270,114995270,I Love My Westie Neon Butterflies Silhouette ,"i love my westie, westies, westy, west highland white terrier, white dog, west highland terrier, dog mom, puppy, canine, silhouette, amsonart design, neon butterflies, red, yellow, vibrant blue","I love my Westie dog neon butterflies pattern in red, yellow and blue.  The Dog silhouette makes a great gift for any West Highland White Terrier dog mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
4,https://www.redbubble.com/shop/ap/114940977,114940977,I Love My Tibetan Terrier Dog Neon Butterflies Silhouette ,"i love tibetan terrier, dog, terrier dog mom, dogs puppy, canine, silhouette, neon butterflies abstract, pet, pets, animals, graphic, amsonart design, pedigree, breed specific, tt dog","I love my Tibetan Terrier Dog neon butterflies red, yellow and blue abstract pattern.  The cute pedigree dog silhouette makes a great gift for any Terrier mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
5,https://www.redbubble.com/shop/ap/114940459,114940459,I Love My Scottish Terrier Dog Neon Butterflies Silhouette ,"i love my scottish terrier, dog, terrier dog mom, dogs puppy, canine, silhouette, neon butterflies abstract, pet, pets, animals, graphic, amsonart design, pedigree, breed specific, scottie","I love my Scottish Terrier Dog neon butterflies red, yellow and blue abstract pattern.  The pedigree dog silhouette makes a great gift for any Terrier mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
6,https://www.redbubble.com/shop/ap/114939233,114939233,I Love My Schnauzer Dog Hot Pink Silhouette ,"i love my schnauzer, miniature dog, standard dog mom, dogs puppy, canine, silhouette, neon butterflies abstract, red, yellow, blue, pet, pets, animals, graphic, amsonart design, pedigree, breed specific","I love my Schnauzer Dog neon butterflies red, yellow and blue abstract pattern.  The pedigree dog silhouette makes a great gift for any standard or miniature Schnauzer  mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
7,https://www.redbubble.com/shop/ap/114938545,114938545,I Love My Samoyed Neon Butterflies Dog Silhouette ,"i love my samoyed, smiling sammy, snow dog, cute, dog mom, dogs puppy, canine, silhouette, neon butterflies, red, yellow, blue, abstract, pet, pets, animals, graphic, amsonart design, white dog, sled dogs","I love my Samoyed neon butterflies red, yellow, blue abstract pattern.  The cute dog silhouette makes a great gift for any dog mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
8,https://www.redbubble.com/shop/ap/114937977,114937977,I Love My Rottweiler Neon Butterflies Dog Silhouette ,"i love my rottweiler, rottie dog, big dog mom, dogs, puppy, canine, silhouette, abstract, pet, pets, animals, graphic, amsonart design, neon butterflies, red, yellow, bright blue, black and tan, mahogany, guard dog","I love my Rottweiler Dog neon butterflies red, yellow and blue pattern.  The dog silhouette makes a great gift for any big dog mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt."
9,https://www.redbubble.com/shop/ap/114937546,114937546,I Love My Pug Dog Cute Neon Butterflies Silhouette ,"i love pug, dogs, dog mom, dogs puppy, canine, silhouette, neon butterflies abstract, red, yellow, blue, pet, pets, animals, graphic, amsonart design, pedigree, breed specific, small dog, cute, black pug, fawn pug",I love my Pug neon butterflies abstract pattern.  The cute pedigree dog silhouette makes a great gift for any small dog mom or pet owner you know.  For more of my designs and illustrations visit AMSonArt.
